name,type,sido,sgg,addr,tel
(주)용인대월드태권도1관,태권도,충청북도,제천시,충청북도 제천시 용두대로11길 22-4,
(주)운정몬스터,볼링,경기도,파주시,경기도 파주시 하늘채길 1,
(주)월드스포츠컨설팅도마실체육센터,수영,대전광역시,서구,대전광역시 서구 유등로 235,0425825556
(주)월드승마학교,승마,경기도,시흥시,경기도 시흥시 달월길 37,
(주)월드파크골프,골프,경기도,의정부시,경기도 의정부시 만가대길 53,0318417776
(주)웰니스코리아,기타종목,경기도,용인시,경기도 용인시 기흥구 흥덕2로87번길 18,
(주)위너비에이치,축구,충청남도,천안시,충청남도 천안시 동남구 천안천변길 79-15,
(주)율하모니,기타종목,경기도,양주시,경기도 양주시 평화로1416번길 45-16,
(주)의정부축구클럽,축구,경기도,의정부시,경기도 의정부시 서부로 527,
(주)이에치홀딩스 미금점,헬스,경기도,성남시,경기도 성남시 분당구 돌마로 87,0317262556
(주)인터내셔널스포츠그룹,기타종목,충청남도,아산시,충청남도 아산시 배방읍 광장로 210,
(주)청룡유나이티드,축구,경기도,시흥시,경기도 시흥시 서울대학로278번길 34,
(주)크풋 옥상 풋살장,축구,경기도,성남시,경기도 성남시 수정로 115-1,
(주)키즈스윔,수영,충청북도,청주시,충청북도 청주시 청원구 공항로84번길 50,
(주)태성에스더블유,헬스,경상남도,김해시,경상남도 김해시 주촌면 선천로 65,0553212800
(주)풀숲,필라테스,부산광역시,동구,부산광역시 동구 초량상로79번길 33-7,
(주)플렉스스포츠,기타종목,경기도,광명시,경기도 광명시 하안로288번길 15,
(주)하이츠스포츠센터,기타종목,경기도,안산시,경기도 안산시 상록구 반석로 20,0314070400
(주)한국그룹운동개발원 ,필라테스,서울특별시,송파구,서울특별시 송파구 송이로 91,
(주)한국스포터 성북지점 돈암교육문화관,수영,서울특별시,성북구,서울특별시 성북구 동소문로13길 38,029229026
(주)한국파워점핑,기타종목,경기도,화성시,경기도 화성시 동탄순환대로 249,
(주)한샘레포츠타운 산업단지,종합체육시설,경기도,안산시,경기도 안산시 단원구 동산로 63,0314923391
(주)향남에프시,축구,경기도,화성시,경기도 화성시 향남읍 서봉로115번길 89-4,
(주)홈스파월드,수영,대구광역시,남구,대구 남구,
(창원시설공단)마산합포스포츠센터,수영,경상남도,창원시,경상남도 창원시 마산합포구 드림베이대로 56,0557120493
(특공무술)창무관,기타종목,서울특별시,도봉구,서울특별시 도봉구 도봉로 517,
001A 에드핏 ADDFIT 비대면 온라인 스포츠 코칭 플랫폼,기타종목,광주광역시,동구,광주광역시 동구 준법로 12,0216441963
001A 에드핏 ADDFIT 비대면 온라인 스포츠 코칭 플랫폼 광주,기타종목,광주광역시,동구,광주광역시 동구 준법로 12,0216441963
0211필라테스 개봉 평생교육원,필라테스,서울특별시,구로구,서울특별시 구로구 고척로 85,
02댄스운동센터,에어로빅,제주특별자치도,제주시,제주특별자치도 제주시 한림읍 한림중앙로 5,
03댄스스튜디오,댄스(줌바 등),전라남도,완도군,전라남도 완도군 완도읍 개포로159번길 51,
053짐대실역점 헬스PT,헬스,대구광역시,달성군,대구광역시 달성군 다사읍 대실역북로1길 29-9,0536167346
0워너비휘트니스0 헬스는여기서,헬스,경상남도,김해시,경상남도 김해시 번화1로84번길 24,0553148883
1.3.4리듬복싱 상무본점,복싱,광주광역시,서구,광주광역시 서구 운천로 131,0623751342
1004당구클럽,기타종목,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 11,
100휘트니스 삼천,헬스,전북특별자치도,전주시,전북특별자치도 전주시 완산구 장승배기로 88,
100휘트니스 삼천평화점,필라테스,전북특별자치도,전주시,전라북도 전주시 완산구 장승배기로 88,
102댄스스튜디오학원,댄스(줌바 등),부산광역시,금정구,부산광역시 금정구 중앙대로1945번길 10,
134 리듬복싱 첨단점,복싱,광주광역시,광산구,광주광역시 광산구 월계로 187,0629741342
134리듬복싱,복싱,전라남도,무안군,전라남도 무안군 삼향읍 남악4로 92,0612831342
134리듬복싱  동천5호점,복싱,광주광역시,서구,광주광역시 서구 유림로98번길 3,0625151342
134리듬복싱 신창점,복싱,광주광역시,광산구,전남광주통합특별시 광산구 신창로 64,0629591342
140키즈수영장 오류점,수영,대전광역시,중구,대전광역시 중구 오류로 97-15,0425338208
153 합기도 해동검도,합기도,인천광역시,서해구,인천광역시 서구 승학로495번길 4-1,0325670153
153다이어트복싱 석현점,복싱,전라남도,목포시,전라남도 목포시 영산로 557,0612760153
153다이어트복싱클럽,복싱,전라남도,목포시,전라남도 목포시 용해지구로 4,
153다이어트복싱클럽,복싱,전라남도,영암군,전라남도 영암군 삼호읍 대불주거로 150,
153복싱짐,복싱,충청북도,충주시,충청북도 충주시 성터10길 35,
153복싱짐 칠금점,복싱,충청북도,충주시,충청북도 충주시 계명대로 33-1,
153아카데미,헬스,충청북도,충주시,충청북도 충주시 성터10길 35,
153태권도아카데미,태권도,경기도,부천시,경기도 부천시 부흥로 407,
153피트니스 신연수점,헬스,충청북도,충주시,충청북도 충주시 계명대로 244,
153피트니스필라테스,헬스,충청북도,충주시,충청북도 충주시 연수서편2길 25,
15짐,헬스,서울특별시,은평구,서울특별시 은평구 연서로29길 24,
1864101344,종합체육시설,전북특별자치도,정읍시,전북특별자치도 정읍시 하신경9길 3,
1994복싱,복싱,인천광역시,서구,인천광역시 서구 검단로 474,
1AND1 ADDFIT 에드핏 비대면 온라인 스포츠코칭 플랫폼,"기타종목, 필라테스",광주광역시,동구,광주광역시 동구 금남로 245,06216441963
1ON1주식회사뉴힐링라이프재활운동센터대전,기타종목,대전광역시,서구,대전광역시 서구 대덕대로317번길 20,0424879867
1TOP태권도,태권도,울산광역시,북구,울산광역시 북구 산하중앙2로 290,0520000000
1cm 필라테스,필라테스,전라남도,진도군,전라남도 진도군 진도읍 남동1길 26,0283304670
1on1 뉴힐링라이프재활운동센터 안양점,필라테스,경기도,안양시,경기도 안양시 동안구 흥안대로 458,07086997876
1대1 비대면 라이브 홈트 핏토,"필라테스, 헬스",서울특별시,강남구,서울특별시 강남구 도산대로 458,0216664754
1등 태권도 교육관,태권도,경기도,안산시,경기도 안산시 상록구 건건로 123,0313564510
1등경희선경태권도장,태권도,경기도,의왕시,경기도 의왕시 위인로 8,
1박2일,기타종목,광주광역시,광산구,광주광역시 광산구 왕버들로265번길 7-7,
1박2일당구장,기타종목,광주광역시,광산구,광주광역시 광산구 왕버들로265번길 7-7,
1티어짐,복싱,전북특별자치도,익산시,전북특별자치도 익산시 무왕로17길 44-4,
201피트니스클럽,헬스,경기도,하남시,경기도 하남시 덕풍동로 111-21,
201휘트니스 클럽,헬스,경기도,성남시,경기도 성남시 분당구 벌말로40번길 3,
2080휘트니스,헬스,울산광역시,중구,울산광역시 중구 북부순환도로 111,0526226612
21C댄스스포츠아카데미,댄스,경상남도,사천시,경상남도 사천시 정동면 진삼로 1426,
21세기체대태권스쿨,태권도,인천광역시,미추홀구,인천 남구 용현동,0328628557
21세기태권도,태권도,경기도,안산시,경기도 안산시 상록구 부곡로 64,
21세기태권도장,태권도,경기도,군포시,경기도 군포시 고산로677번길 40,
237탁구클럽,탁구,경기도,구리시,경기도 구리시 응달말로52번길 17-8,0315680700
24fit7 점핑다이어트,기타종목,경상남도,양산시,경상남도 양산시 동면 금오13길 4,0553847577
24시 달려라휘트니스 동천점,헬스,광주광역시,북구,광주광역시 북구 하남대로 669,
24시 달려라휘트니스 연제양산본점 헬스 PT,헬스,광주광역시,북구,광주광역시 북구 양산제로 77,
24시 달려라휘트니스 용봉점 헬스 PT,헬스,광주광역시,북구,광주광역시 북구 용봉택지로 51,
24시 달려라휘트니스 첨단점 헬스 PT,헬스,광주광역시,광산구,광주광역시 광산구 첨단중앙로106번길 65-7,
24시 달팽이헬스 PT,헬스,광주광역시,광산구,광주광역시 광산구 목련로153번길 79-1,
24시 평생헬스 금호풍암점,헬스,광주광역시,서구,광주광역시 서구 화개1로79번길 7,
24시 헬스 PT 제로백피트니스 송정점,헬스,광주광역시,광산구,광주광역시 광산구 송도로 264,0629414773
24시 헬스 PT 제로백피트니스 운남점,헬스,광주광역시,광산구,광주광역시 광산구 하남대로 288,0629558873
24시 헬스 PT 제로백피트니스 진월점,헬스,광주광역시,남구,광주광역시 남구 서문대로 735,
24시달려라휘트니스상무지구점헬스 PT,헬스,광주광역시,서구,광주광역시 서구 상무시민로 96,
260필라테스,필라테스,경기도,파주시,경기도 파주시 청석로 260,
2JCM필라테스,필라테스,경기도,수원시,경기도 수원시 권선구 세권로108번길 42,
2X휘트니스 ,헬스,광주광역시,서구,광주광역시 서구 유림로 100,
2x 피트니스,헬스,광주광역시,서구,광주광역시 서구 유림로 100,0624310758
2퍼센트 당구장,당구,전라남도,나주시,전라남도 나주시 월정3길 40,06326164268
3.3바디랩,헬스,경기도,평택시,경기도 평택시 지산로 110,
30분 근력운동 커브스,헬스,광주광역시,광산구,광주광역시 광산구 첨단중앙로 96,0629729330
33피트니스,헬스,광주광역시,남구,광주광역시 남구 회재로1186번길 41,0626728233
36524짐,헬스,경상남도,양산시,경상남도 양산시 웅상대로 838,
365건강드림운동센터,요가,경상남도,진주시,경상남도 진주시 진성면 동부로 1316,
365바디핏 ,요가,경상북도,구미시,경상북도 구미시 산동읍 산호대로39길 10,
365배드민턴 센터,배드민턴,대구광역시,동구,대구광역시 동구 화랑로 528,0539630365
365복싱데이,복싱,충청남도,천안시,충청남도 천안시 동남구 신촌4로 16,0415715885
365스포츠,스쿼시,대전광역시,유성구,대전광역시 유성구 은구비남로33번길 59,028226365
365요가헬스,요가,강원특별자치도,춘천시,강원특별자치도 춘천시 우석로101번길 86,0332633235
365점핑클럽,기타종목,부산광역시,남구,부산광역시 남구 석포로 66,0516427775
365탁구클럽,탁구,서울특별시,영등포구,서울특별시 영등포구 선유로 115,0226373729
369 당구클럽,당구,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중산간동로 8037,0647323690
369피트니스,헬스,경상남도,진주시,경상남도 진주시 초북로 36,0557629553
3949당구장,기타종목,서울특별시,동작구,서울특별시 동작구 보라매로5가길 16,
3AM댄스학원,댄스(줌바 등),부산광역시,부산진구,부산광역시 부산진구 서전로9번길 47,
3F,필라테스,경기도,평택시,경기도 평택시 송탄로 364,0316629698
3R복싱,복싱,경기도,남양주시,경기도 남양주시 별내중앙로 34,0315749879
3짐점핑클럽,종합체육시설,충청남도,아산시,충청남도 아산시 배방읍 새아산로 20-10,
3포인트짐,필라테스,경기도,남양주시,경기도 남양주시 호평로45번길 38,
404피트니스 명지국제신도시점,헬스,부산광역시,강서구,부산광역시 강서구 명지국제8로 264,
404피트니스 명지오션시티점,헬스,부산광역시,강서구,부산광역시 강서구 명지오션시티11로 66,
404피트니스 삼계점,헬스,경상남도,김해시,경상남도 김해시 삼계중앙로 22,0226034004
404피트니스 신항점,헬스,경상남도,창원시,경상남도 창원시 진해구 신항4로 47-24,
404피트니스 장유 코아점,헬스,경상남도,김해시,경상남도 김해시 능동로149번길 8,
404피트니스 진해자은점,헬스,경상남도,창원시,경상남도 창원시 진해구 장복대로 141,
404피트니스 하단점 ,헬스,부산광역시,사하구,부산광역시 사하구 낙동대로 487,
404피트니스 헬스PT 주촌점,헬스,경상남도,김해시,경상남도 김해시 주촌면 선천남로 60,
404피트니스남문점,헬스,경상남도,창원시,경상남도 창원시 진해구 남영로55번길 3,
404피트니스덕천점,헬스,부산광역시,북구,부산광역시 북구 만덕대로 86,
404피트니스사상점,헬스,부산광역시,사상구,부산광역시 사상구 광장로 84,
404피트니스신호점,헬스,부산광역시,강서구,부산광역시 강서구 신호산단2로27번길 3,
404피트니스율하점,헬스,경상남도,김해시,경상남도 김해시 율하6로 68,
406주짓수 통진,주짓수,경기도,김포시,경기도 김포시 통진읍 김포대로2004번길 22,
4m필라테스,필라테스,경기도,남양주시,경기도 남양주시 진접읍 해밀예당1로 50-74,0315755411
4번타자,야구,대구광역시,달서구,대구광역시 달서구 문화회관5길 12,
4차원균형다이어트요가,요가,경상남도,김해시,경상남도 김해시 장유로 194,0553354086
4차원균형다이어트요가원,요가,전라남도,광양시,전라남도 광양시 광양읍 기두3길 23,0617614086
4차원균형다이어트요가원,요가,전라남도,여수시,전라남도 여수시 망마로 40,0616829300
4차원균형다이어트요가원,요가,전라남도,여수시,전라남도 여수시 성산로 3,0616822015
4차원균형다이어트요가원 대방점,요가,경상남도,창원시,경상남도 창원시 성산구 가양로124번길 17-12,0552645453
4차원균형요가 상남점,요가,경상남도,창원시,경상남도 창원시 성산구 동산로65번길 26-12,0552647724
5150피트니스 내손점,헬스,경기도,의왕시,경기도 의왕시 계원대학로 28,0314260707
5310복싱클럽,복싱,충청남도,태안군,충청남도 태안군 태안읍 동문1길 70,
55점핑다이어트찜질,기타종목,전라남도,여수시,전라남도 여수시 무선로 12,
573스위밍풀,수영,광주광역시,서구,광주광역시 서구 금호만호길 45-33,
573스위밍풀 효천점,수영,광주광역시,남구,광주광역시 남구 효천길 3,
573스위밍풀(풍암점),수영,광주광역시,서구,광주광역시 서구 풍암중앙로 39,
59스포츠,농구,서울특별시,서대문구,서울특별시 서대문구 통일로 448,
5관금강태권도,태권도,울산광역시,북구,울산광역시 북구 중산서로 18,0522937250
679  06  01675,요가,경기도,이천시,경기도 이천시 장호원읍 샘재로 155,
707사격,기타종목,세종특별자치시,세종시,세종특별자치시 나성로 125-16,
707사격 나성점,기타종목,세종특별자치시,세종시,세종특별자치시 나성로 133-15,
707특공무술,기타종목,서울특별시,광진구,서울특별시 광진구 용마산로 38,0222018899
707특공무술,기타종목,인천광역시,연수구,인천 연수구 선학동,
7관 금강태권도장,태권도,울산광역시,북구,울산광역시 북구 화산로 123,
808피트니스,헬스,부산광역시,서구,부산광역시 서구 충무대로 24,
88복싱장,복싱,경기도,평택시,경기도 평택시 포승읍 여술로43번길 18,
88복싱클럽 ,복싱,경기도,평택시,경기도 평택시 포승읍 여술로43번길 18,
88태권도교실,태권도,강원특별자치도,강릉시,강원 강릉시 노암동 ,
88피트니스,헬스,경기도,파주시,경기도 파주시 숲속노을로 275,
88휘트니스,헬스,경기도,파주시,경기도 파주시 숲속노을로 275,
99스피닝,기타종목,인천광역시,서구,인천광역시 서구 가정로 360-2,03284857410
99실내풋살장,축구,전라남도,순천시,전라남도 순천시 덕암길 106,
<MJ>엠제이 줌바스튜디오,댄스,경상남도,양산시,경상남도 양산시 동면 금오14길 9-20,
A+보습키즈체육관,태권도,서울특별시,중구,서울 중구 신당동 다산로36가길 16,
ABC운동발달센터,기타종목,인천광역시,미추홀구,인천광역시 미추홀구 소성로 188,0327198191
ABC태권스쿨,태권도,전라남도,순천시,전라남도 순천시 연향2로 55,
AG댄스스튜디오,에어로빅,경기도,고양시,경기도 고양시 일산서구 산현로 102,0319242112
AJ스파휘트니스,헬스,경상남도,진주시,경상남도 진주시 동진로 22,0557617112
AJ스포츠센터,수영,제주특별자치도,제주시,제주특별자치도 제주시 간월동로 5,0647022425
ALD태권도수련관,태권도,서울특별시,마포구,서울특별시 마포구 독막로 266,0232757779
ALL드림 점핑 체온,기타종목,경기도,안산시,경기도 안산시 상록구 도매시장로 60,
ALL바른 태권도,태권도,대구광역시,달서구,대구 달서구 송현1동,
ALL바른태권도장,태권도,경상남도,창원시,경상남도 창원시 진해구 웅천동로106번길 7,
ANL댄스학원,댄스(줌바 등),경기도,남양주시,경기도 남양주시 다산순환로 430,
APM 다이어트댄스 마산지부,댄스(줌바 등),경상남도,창원시,경상남도 창원시 마산합포구 월영동3길 28,
AP센터,기타종목,경기도,수원시,경기도 수원시 영통구 영통로323번길 6,0312144656
ARTOFMMA 신당점,주짓수,서울특별시,중구,서울특별시 중구 다산로 172,
AR휘트니스 거여점,헬스,서울특별시,송파구,서울특별시 송파구 양산로 40,0275897233
AT24피트니스,헬스,경기도,파주시,경기도 파주시 청석로 115,
ATS 태풍태권도,태권도,서울특별시,관악구,서울 관악구 봉천동,
