code,region,sido,n_recv,s_recv,n_target,s_target,s_pct,n_pct
30170,서구,대전광역시,107,987,2718.0,3197.0,30.87,3.94
30200,유성구,대전광역시,60,589,1576.0,1774.0,33.2,3.81
30230,대덕구,대전광역시,32,551,1415.0,1852.0,29.75,2.26
31110,중구,울산광역시,30,302,1178.0,1124.0,26.87,2.55
31140,남구,울산광역시,18,391,1374.0,1381.0,28.31,1.31
31170,동구,울산광역시,26,339,1128.0,1217.0,27.86,2.3
31200,북구,울산광역시,30,351,1322.0,1323.0,26.53,2.27
31710,울주군,울산광역시,22,330,1239.0,1325.0,24.91,1.78
36110,세종특별자치시,세종특별자치시,16,541,1502.0,1811.0,29.87,1.07
41110,수원시,경기도,131,917,3647.0,3650.0,25.12,3.59
41130,성남시,경기도,64,1178,2972.0,3701.0,31.83,2.15
41150,의정부시,경기도,103,982,3288.0,3530.0,27.82,3.13
41170,안양시,경기도,61,472,1529.0,1758.0,26.85,3.99
41190,부천시,경기도,73,936,3238.0,3521.0,26.58,2.25
41210,광명시,경기도,18,354,878.0,1134.0,31.22,2.05
41220,평택시,경기도,64,932,3099.0,3678.0,25.34,2.07
41250,동두천시,경기도,8,370,1010.0,1313.0,28.18,0.79
41270,안산시,경기도,88,1490,4536.0,5347.0,27.87,1.94
41280,고양시,경기도,102,1437,3724.0,4520.0,31.79,2.74
41290,과천시,경기도,2,28,77.0,108.0,25.93,2.6
41310,구리시,경기도,13,249,764.0,874.0,28.49,1.7
41360,남양주시,경기도,135,1152,3563.0,3977.0,28.97,3.79
41370,오산시,경기도,36,343,1211.0,1363.0,25.17,2.97
41390,시흥시,경기도,61,874,2636.0,3050.0,28.66,2.31
41410,군포시,경기도,34,382,1151.0,1432.0,26.68,2.95
41430,의왕시,경기도,10,138,359.0,471.0,29.3,2.79
41450,하남시,경기도,24,283,840.0,913.0,31.0,2.86
41460,용인시,경기도,37,872,2348.0,3121.0,27.94,1.58
41480,파주시,경기도,73,1138,3340.0,4115.0,27.65,2.19
41500,이천시,경기도,27,326,1064.0,1217.0,26.79,2.54
41550,안성시,경기도,10,319,972.0,1194.0,26.72,1.03
41570,김포시,경기도,43,647,1897.0,2198.0,29.44,2.27
41590,화성시,경기도,98,878,2914.0,3033.0,28.95,3.36
41610,광주시,경기도,33,540,1839.0,2175.0,24.83,1.79
41630,양주시,경기도,59,717,2353.0,2745.0,26.12,2.51
41650,포천시,경기도,30,340,1044.0,1258.0,27.03,2.87
41670,여주시,경기도,8,229,732.0,1057.0,21.67,1.09
41800,연천군,경기도,4,60,237.0,312.0,19.23,1.69
41820,가평군,경기도,5,68,312.0,402.0,16.92,1.6
41830,양평군,경기도,12,197,570.0,788.0,25.0,2.11
43110,청주시,충청북도,102,1586,5266.0,6236.0,25.43,1.94
43130,충주시,충청북도,21,401,1356.0,1578.0,25.41,1.55
43150,제천시,충청북도,28,294,936.0,1180.0,24.92,2.99
43720,보은군,충청북도,2,41,160.0,224.0,18.3,1.25
43730,옥천군,충청북도,8,69,322.0,399.0,17.29,2.48
43740,영동군,충청북도,3,62,202.0,302.0,20.53,1.49
43745,증평군,충청북도,2,76,288.0,334.0,22.75,0.69
43750,진천군,충청북도,4,105,484.0,538.0,19.52,0.83
43760,괴산군,충청북도,7,39,159.0,194.0,20.1,4.4
43770,음성군,충청북도,4,120,480.0,768.0,15.62,0.83
43800,단양군,충청북도,4,37,128.0,171.0,21.64,3.12
44130,천안시,충청남도,22,826,3131.0,3591.0,23.0,0.7
44150,공주시,충청남도,9,198,588.0,788.0,25.13,1.53
44180,보령시,충청남도,7,162,620.0,823.0,19.68,1.13
44200,아산시,충청남도,21,596,1874.0,2240.0,26.61,1.12
44210,서산시,충청남도,41,242,842.0,1001.0,24.18,4.87
44230,논산시,충청남도,6,318,860.0,1286.0,24.73,0.7
44250,계룡시,충청남도,8,70,226.0,273.0,25.64,3.54
44270,당진시,충청남도,8,211,866.0,995.0,21.21,0.92
44710,금산군,충청남도,7,118,351.0,424.0,27.83,1.99
44760,부여군,충청남도,14,127,378.0,551.0,23.05,3.7
44770,서천군,충청남도,4,58,254.0,292.0,19.86,1.57
44790,청양군,충청남도,2,51,174.0,216.0,23.61,1.15
44800,홍성군,충청남도,14,193,516.0,687.0,28.09,2.71
44810,예산군,충청남도,22,132,334.0,491.0,26.88,6.59
44825,태안군,충청남도,1,97,300.0,413.0,23.49,0.33
46110,목포시,전라남도,29,841,2626.0,3417.0,24.61,1.1
46130,여수시,전라남도,34,467,1532.0,1884.0,24.79,2.22
46150,순천시,전라남도,36,480,1388.0,1747.0,27.48,2.59
46170,나주시,전라남도,35,354,921.0,1181.0,29.97,3.8
46230,광양시,전라남도,22,373,1053.0,1228.0,30.37,2.09
46710,담양군,전라남도,5,90,224.0,309.0,29.13,2.23
46720,곡성군,전라남도,1,22,104.0,137.0,16.06,0.96
46730,구례군,전라남도,5,33,119.0,168.0,19.64,4.2
46770,고흥군,전라남도,12,78,337.0,442.0,17.65,3.56
46780,보성군,전라남도,3,35,209.0,286.0,12.24,1.44
46790,화순군,전라남도,14,139,366.0,456.0,30.48,3.83
46800,장흥군,전라남도,2,55,235.0,325.0,16.92,0.85
46810,강진군,전라남도,2,91,235.0,353.0,25.78,0.85
46820,해남군,전라남도,7,136,368.0,527.0,25.81,1.9
46830,영암군,전라남도,3,96,290.0,372.0,25.81,1.03
46840,무안군,전라남도,22,180,571.0,724.0,24.86,3.85
46860,함평군,전라남도,1,67,131.0,218.0,30.73,0.76
46870,영광군,전라남도,2,90,317.0,457.0,19.69,0.63
46880,장성군,전라남도,15,80,238.0,323.0,24.77,6.3
46890,완도군,전라남도,5,47,255.0,311.0,15.11,1.96
46900,진도군,전라남도,4,21,183.0,237.0,8.86,2.19
46910,신안군,전라남도,6,48,208.0,344.0,13.95,2.88
47110,포항시,경상북도,54,1106,3571.0,4431.0,24.96,1.51
47130,경주시,경상북도,15,394,1306.0,1709.0,23.05,1.15
47150,김천시,경상북도,14,360,842.0,1142.0,31.52,1.66
47170,안동시,경상북도,26,349,943.0,1152.0,30.3,2.76
47190,구미시,경상북도,56,774,2470.0,2709.0,28.57,2.27
47210,영주시,경상북도,10,257,644.0,833.0,30.85,1.55
47230,영천시,경상북도,13,343,663.0,896.0,38.28,1.96
47250,상주시,경상북도,12,156,465.0,642.0,24.3,2.58
47280,문경시,경상북도,9,80,285.0,339.0,23.6,3.16
47290,경산시,경상북도,28,514,1827.0,2221.0,23.14,1.53
47730,의성군,경상북도,7,68,197.0,298.0,22.82,3.55
47750,청송군,경상북도,2,19,78.0,105.0,18.1,2.56
47760,영양군,경상북도,6,35,94.0,142.0,24.65,6.38
47770,영덕군,경상북도,7,50,240.0,315.0,15.87,2.92
47820,청도군,경상북도,3,66,166.0,211.0,31.28,1.81
47830,고령군,경상북도,10,86,210.0,257.0,33.46,4.76
47840,성주군,경상북도,7,42,206.0,295.0,14.24,3.4
47850,칠곡군,경상북도,8,290,995.0,1212.0,23.93,0.8
47900,예천군,경상북도,2,101,273.0,356.0,28.37,0.73
47920,봉화군,경상북도,1,21,101.0,132.0,15.91,0.99
47930,울진군,경상북도,5,57,198.0,251.0,22.71,2.53
47940,울릉군,경상북도,0,3,30.0,28.0,10.71,0.0
48120,창원시,경상남도,112,2031,5981.0,7287.0,27.87,1.87
48170,진주시,경상남도,63,1031,2313.0,2805.0,36.76,2.72
48220,통영시,경상남도,23,503,1281.0,1664.0,30.23,1.8
48240,사천시,경상남도,11,307,800.0,1011.0,30.37,1.38
48250,김해시,경상남도,38,1349,4289.0,5211.0,25.89,0.89
48270,밀양시,경상남도,20,254,568.0,815.0,31.17,3.52
48310,거제시,경상남도,47,794,1763.0,2294.0,34.61,2.67
48330,양산시,경상남도,73,693,2523.0,2704.0,25.63,2.89
48720,의령군,경상남도,3,35,121.0,178.0,19.66,2.48
48730,함안군,경상남도,4,105,369.0,465.0,22.58,1.08
48740,창녕군,경상남도,5,109,384.0,477.0,22.85,1.3
48820,고성군,경상남도,10,148,291.0,513.0,28.85,3.44
48840,남해군,경상남도,7,53,217.0,300.0,17.67,3.23
48850,하동군,경상남도,5,68,208.0,326.0,20.86,2.4
48860,산청군,경상남도,6,60,151.0,213.0,28.17,3.97
48870,함양군,경상남도,2,128,230.0,384.0,33.33,0.87
48880,거창군,경상남도,12,146,409.0,529.0,27.6,2.93
48890,합천군,경상남도,2,17,114.0,180.0,9.44,1.75
50110,제주시,제주특별자치도,88,1615,3965.0,4915.0,32.86,2.22
50130,서귀포시,제주특별자치도,25,471,1412.0,1822.0,25.85,1.77
51110,춘천시,강원특별자치도,33,703,1739.0,2236.0,31.44,1.9
51130,원주시,강원특별자치도,65,764,2367.0,2763.0,27.65,2.75
51150,강릉시,강원특별자치도,28,377,1275.0,1543.0,24.43,2.2
51170,동해시,강원특별자치도,9,202,557.0,714.0,28.29,1.62
51190,태백시,강원특별자치도,8,74,259.0,344.0,21.51,3.09
51210,속초시,강원특별자치도,10,149,614.0,697.0,21.38,1.63
51230,삼척시,강원특별자치도,3,92,311.0,392.0,23.47,0.96
51720,홍천군,강원특별자치도,5,75,228.0,322.0,23.29,2.19
51730,횡성군,강원특별자치도,6,33,134.0,207.0,15.94,4.48
51750,영월군,강원특별자치도,6,14,180.0,226.0,6.19,3.33
51760,평창군,강원특별자치도,5,24,109.0,109.0,22.02,4.59
51770,정선군,강원특별자치도,2,14,130.0,152.0,9.21,1.54
51780,철원군,강원특별자치도,4,54,186.0,245.0,22.04,2.15
51790,화천군,강원특별자치도,2,20,88.0,108.0,18.52,2.27
51800,양구군,강원특별자치도,1,24,86.0,133.0,18.05,1.16
51810,인제군,강원특별자치도,5,38,122.0,148.0,25.68,4.1
51820,고성군,강원특별자치도,2,23,122.0,124.0,18.55,1.64
51830,양양군,강원특별자치도,3,21,109.0,130.0,16.15,2.75
52110,전주시,전북특별자치도,123,2243,5639.0,7041.0,31.86,2.18
52130,군산시,전북특별자치도,71,775,2100.0,2775.0,27.93,3.38
52140,익산시,전북특별자치도,78,917,2847.0,3487.0,26.3,2.74
52180,정읍시,전북특별자치도,28,322,872.0,1156.0,27.85,3.21
52190,남원시,전북특별자치도,27,294,693.0,928.0,31.68,3.9
52210,김제시,전북특별자치도,16,316,718.0,967.0,32.68,2.23
52710,완주군,전북특별자치도,18,362,878.0,1172.0,30.89,2.05
52720,진안군,전북특별자치도,6,41,134.0,194.0,21.13,4.48
52730,무주군,전북특별자치도,2,33,106.0,169.0,19.53,1.89
52740,장수군,전북특별자치도,1,50,115.0,173.0,28.9,0.87
52750,임실군,전북특별자치도,5,62,151.0,241.0,25.73,3.31
52770,순창군,전북특별자치도,1,16,182.0,244.0,6.56,0.55
52790,고창군,전북특별자치도,13,80,357.0,570.0,14.04,3.64
52800,부안군,전북특별자치도,11,78,290.0,361.0,21.61,3.79
